[0.00 -> 2.00]  Alhamdulillah
[1756.12 -> 1757.20]  I've never seen him before.
[1757.20 -> 1759.04]  How's he allowed to do this?
[1759.04 -> 1759.98]  It's very strange.
[1759.98 -> 1763.50]  So this is the response of the Sahabah.
[1763.50 -> 1765.82]  But then the other action, it shows
[1765.82 -> 1768.50]  that this person is like a close friend of the Prophet.
[1768.50 -> 1769.50]  They're this close.
[1769.50 -> 1771.38]  It's like they're a close friend.
[1771.38 -> 1774.02]  But again, nobody recognizes this person.
[1774.02 -> 1777.62]  And so then it was actually Sayyidina Jibril,
[1777.62 -> 1779.82]  of course, who's very close to the Prophet,
[1779.82 -> 1781.78]  and then asks three questions.
[1781.78 -> 1783.10]  What is Islam?
[1783.10 -> 1784.66]  What is Iman?
[1784.66 -> 1785.66]  What is Ihsan?
[1785.66 -> 1787.86]  OK, I'm going to touch on the last bit, because again, you
[1787.86 -> 1792.58]  do another class on that hadith. The Prophet Sallallahu Alaihi Wasallam explained what is Islam,
[1793.70 -> 1798.50]  what is Iman etc. When it asks about Ihsan, this is the one thing most people aren't sure because
[1798.50 -> 1804.82]  Islam we understand how to worship Allah, Iman we understand what to believe in Allah, but Ihsan
[1804.82 -> 1809.62]  most people don't understand. It's to do with the station of excellence and the Prophet Sallallahu
[1809.62 -> 1816.02]  Alaihi Wasallam just explained it very easily. Ihsan is to worship Allah as if you see him. So when
[1816.02 -> 1818.76]  When you stand in Salah, when you go about your day-to-day,
[1818.76 -> 1820.88]  it's like you see Allah.
[1820.88 -> 1823.10]  The people of Jannah, remember what we said?
[1823.10 -> 1825.10]  It's like they see Allah.
[1825.10 -> 1828.58]  But we know that it's not possible.
[1828.58 -> 1831.78]  Generally speaking, it's not possible for most of us.
[1831.78 -> 1836.50]  So even if you don't see Allah, know that Allah sees you.
[1836.50 -> 1837.34]  Allah sees you.
[1837.34 -> 1838.62]  You know the key that we just talked about now?
[1838.62 -> 1841.70]  Allah sees you, Allah hears you, Allah's with you.
[1841.70 -> 1845.42]  So that's a way that you can practice this muscle of Ihsan.
[1845.42 -> 1848.78]  If you train that muscle, you could become very good at it.
[1848.78 -> 1850.66]  To be honest, if this lecture ended now,
[1850.66 -> 1853.78]  and if you just practice just this one thing,
[1853.78 -> 1856.90]  you'd be on your way to Jannah, insha'Allah,
[1856.90 -> 1859.30]  a personal Jannah, insha'Allah.
[1859.30 -> 1860.38]  That's how powerful that is.
[1860.38 -> 1862.80]  That's why we start with the most important thing.
[1862.80 -> 1863.80]  So you can practice this.
[1863.80 -> 1867.50]  Some people set a reminder on their watch or their calendar.
[1867.50 -> 1868.38]  Oh, it's 3 o'clock.
[1868.38 -> 1869.34]  It's 4 o'clock.
[1869.34 -> 1871.62]  I need to remember Allah.
[1871.62 -> 1873.34]  And then you carry on the rest of the hour,
[1873.34 -> 1874.94]  the rest of the day, you carry on.
[1874.94 -> 1877.66]  It doesn't mean you remember Allah for the whole hour.
[1877.66 -> 1880.38]  Allah does not need you to remember him 24-7,
[1880.38 -> 1883.82]  because the angels are in frustration every day of the week,
[1883.82 -> 1886.80]  every day of the year, 25 hours a day.
[1886.80 -> 1888.10]  Allah doesn't need that from us,
[1888.10 -> 1891.26]  but even five seconds of remembering Allah,
[1891.26 -> 1895.52]  that's more powerful than the 24-7 worship of the angels,
[1895.52 -> 1897.68]  because the angels don't have free will.
[1897.68 -> 1901.00]  Amana, we have the free will, the choice to worship Allah.
[1901.00 -> 1903.20]  So then even five seconds of remembering Allah
[1903.20 -> 1907.64]  is more valuable to Allah than this.
[1907.64 -> 1908.64]  So that's this.
[1908.64 -> 1911.06]  But remember, there's two more keys as well.
[1911.06 -> 1912.42]  So three keys in total,
[1912.42 -> 1913.68]  how to become a person of Jannah.
[1913.68 -> 1915.60]  The first one is presence of Allah.
[1916.60 -> 1918.64]  Second one, very, very important,
[1918.64 -> 1922.88]  is to protect your tongue from harmful speech, bad phrases.
[1926.08 -> 1927.92]  Useless speech, right?
[1927.92 -> 1930.60]  This is the things you can see on the side here.
[1930.60 -> 1932.24]  Just gonna check the streams, okay, yeah.
[1932.24 -> 1936.56]  So on the side, this is why.
[1936.56 -> 1938.56]  When we think, why is swearing bad?
[1938.56 -> 1941.08]  Why is backbiting bad?
[1941.08 -> 1942.70]  Why is lying bad?
[1942.70 -> 1945.44]  Why is cheating people with our tongue?
[1945.44 -> 1947.76]  Like as in, why is all this bad?
[1947.76 -> 1952.48]  Because these are not things that the Prophet Sallallahu Alaihi Wasallam did.
[1952.48 -> 1954.96]  And these are not attributes of Allah Sallallahu Alaihi Wasallam.
[1954.96 -> 1956.32]  Allah does not lie.
[1956.32 -> 1959.88]  Allah does not backbite.
[1959.88 -> 1963.24]  Allah does not curse, swear, never, right?
[1963.24 -> 1964.44]  Impossible.
[1964.44 -> 1967.40]  So if we want to be people of Allah, people of Jannah,
[1967.40 -> 1969.16]  we have to reflect those attributes.
[1969.16 -> 1970.60]  So we have to stop doing those things.
[1970.60 -> 1973.28]  If you notice you're doing it, just stop doing it.
[1973.28 -> 1975.72]  And also you can use your speech in a good way as well.
[1975.72 -> 1977.72]  So just like you stop doing bad things,
[1977.72 -> 1979.28]  you can do good things.
[1979.28 -> 1982.28]  Give people good advice if they're in difficulty.
[1982.28 -> 1984.68]  Give them encouragement, you know, give them salaam.
[1984.68 -> 1986.68]  Salaam is the easiest way to use your tongue.
[1986.68 -> 1987.92]  As-salamu alaykum.
[1987.92 -> 1991.24]  And the Muslim, they say is the first one to do it,
[1991.24 -> 1993.68]  is the best, you know, is the better.
[1993.68 -> 1998.64]  And so we want to be those people that speak gently.
[1998.64 -> 2001.00]  And that's the real sunnah of the Prophet Sallallahu Alaihi Wasallam.
[2001.00 -> 2004.28]  That's how he Sallallahu Alaihi Wasallam used to speak beautifully,
[2004.28 -> 2009.04]  used to make people smile, used to smile himself Sallallahu Alaihi Wasallam.
[2009.04 -> 2015.84]  So this is again, of course, what you learn here is if you train yourself to do this,
[2015.84 -> 2018.60]  Again, you're training to be like a person of Jannah.
[2018.60 -> 2021.00]  In Jannah, all the people will speak like this,
[2021.00 -> 2023.24]  gently, nicely, kindly.
[2023.24 -> 2025.20]  No people will speak badly.
[2025.20 -> 2027.40]  This world is a training ground for us
[2027.40 -> 2029.88]  to train to be ready for Jannah.
[2029.88 -> 2031.28]  And so we should start doing this.
[2031.28 -> 2033.48]  And then, inshallah, we'll get a head start.
[2033.48 -> 2035.80]  It's like, you don't want to learn how to do this.
[2035.80 -> 2039.28]  When you're looking to get into Jannah, you'll be behind.
[2039.28 -> 2042.60]  So you want to practice here, OK?
[2042.60 -> 2047.60]  And the other third key is good character, good behavior.
[2049.20 -> 2053.16]  Again, you can see it, but I'll talk through it.
[2053.16 -> 2054.36]  So what does that mean?
[2054.36 -> 2057.32]  First of all, we leave behind bad behavior.
[2057.32 -> 2060.56]  If we hurt people, if we even hurt ourselves,
[2060.56 -> 2064.36]  Islam prevents us harming other people
[2064.36 -> 2065.72]  and harming ourselves is not allowed.
[2065.72 -> 2067.04]  It's haram in Islam.
[2068.36 -> 2070.92]  If we're selfish, if we're, you know.
[2070.92 -> 2074.52]  But also, again, like everything,
[2074.52 -> 2076.44]  it's like two sides of every coin.
[2076.44 -> 2079.52]  You stop doing the bad thing and you start doing good things.
[2079.52 -> 2081.60]  So specifically, good character
[2082.68 -> 2084.76]  is the easiest definition of it,
[2084.76 -> 2087.40]  is you might have heard this, Adin,
[2087.40 -> 2089.62]  because you came to the retreat last year,
[2089.62 -> 2093.74]  but it's to leave someone in a better state
[2093.74 -> 2095.64]  than before you met them.
[2095.64 -> 2097.92]  So if I meet you and say we go to eat
[2097.92 -> 2100.72]  or we spend time together in this mosque,
[2100.72 -> 2107.80]  that after we finish, if you're happier than before I met you,
[2107.80 -> 2109.52]  then alhamdulillah, that means that I've
[2109.52 -> 2112.44]  managed to do good character.
[2112.44 -> 2114.44]  So the opposite then is true, that you should never
[2114.44 -> 2116.28]  leave someone worse off.
[2116.28 -> 2118.56]  If it is better that they don't meet you,
[2118.56 -> 2120.28]  then there's a problem there.
[2120.28 -> 2122.00]  You're not a good person.
[2122.00 -> 2123.80]  It's an obvious way how to describe it.
[2123.80 -> 2124.92]  You can help other people.
[2124.92 -> 2126.80]  You can do good things.
[2126.80 -> 2128.08]  So this is really what Islam is.
[2128.08 -> 2138.08]  Imagine, if every Muslim did just these things, remember Allah, good character and protect their tongue,
[2138.08 -> 2144.08]  every Muslim area in this country, people would love to move there.
[2144.08 -> 2148.08]  They'd love it because the Muslims are the nicest people we know, they're the kindest people that we know,
[2148.08 -> 2153.08]  they're the most honest people we know, they're the most merciful people we know, they're the most generous people.
[2153.08 -> 2158.60]  Sadly, most people are not practicing this, even though this is what Sayyidina Rasulullah Sallallahu Alaihi Wasallam taught us.
[2159.44 -> 2164.36]  Sadly, many of us are not practicing this, but if we start practicing it, this is how you can change
[2165.16 -> 2169.40]  yourself, your community. It's very, very, it's like a ripple effect and really
[2170.44 -> 2175.92]  protecting your tongue and good character. Actually, the Prophet Sallallahu Alaihi Wasallam also teaches us in a hadith
[2176.76 -> 2180.24]  where the Prophet Sallallahu Alaihi Wasallam explained to one of the Sahaba,
[2180.24 -> 2183.24]  Sayyidina Abu Dhar said,
[2183.24 -> 2191.24]  Ya Abu Dhar, shall I tell you of two qualities that are light on your back, your shoulders,
[2191.24 -> 2194.24]  so they don't weigh much, they're not difficult to do,
[2194.24 -> 2198.24]  but they weigh heavy on the scale of good deeds.
[2198.24 -> 2203.24]  So the Sahaba said, yes of course Rasulullah, please tell me, I really want to learn this.
[2203.24 -> 2206.24]  It's like a shortcut, the Prophet's teaching.
[2206.24 -> 2212.56]  And so the Prophet sallallahu alaihi wa sallam said have good character personal follow, which we just talked about and
[2213.68 -> 2216.00]  Observe long periods of silence
[2217.04 -> 2218.80]  What does that mean?
[2218.80 -> 2225.36]  And the possum says he goes on to say by the one in whose hand is the soul of Muhammad sallallahu alaihi was by Allah
[2227.36 -> 2231.64]  No creation can do any two good deeds better than these two
[2231.64 -> 2237.20]  but these are the two deeds Allah loves the most. So again, this is a shortcut. Have good character with people and
[2239.08 -> 2244.76]  observe long periods of silence. What that means is if you have a choice between
[2246.44 -> 2248.44]  being silent and talking
[2249.24 -> 2251.36]  where it's not beneficial to talk,
[2252.24 -> 2256.76]  then it's better to choose to be silent. So for example, the obvious one is in an argument.
[2257.66 -> 2262.66]  Usually if you argue with someone they argue back nobody achieves anything, right?
[2263.54 -> 2270.02]  But if you be silent, it's a very interesting then suddenly the person who's angry at you. They might get confused
[2271.02 -> 2273.02]  They're shouting at you, but you're just silent
[2273.82 -> 2275.54]  You're not responding
[2275.54 -> 2281.98]  Sometimes they might get angrier, but that's that's their problem. Yeah, but you are not getting involved. You're not lowering yourself to that level
[2282.66 -> 2284.58]  Yeah
[2284.58 -> 2287.30]  Obviously if you're asked a question like someone needs directions
[2288.34 -> 2295.22]  If you're the silent, you're not being helpful. That's not good character. Yeah, so this is um, obviously sometimes it's important to speak
[2295.62 -> 2297.06]  but we want to
[2297.06 -> 2299.06]  the the teaching is
[2299.86 -> 2306.18]  Spend your words i.e with your tongue the words that come out of your mouth spend it like how you spend your money
[2307.30 -> 2313.70]  So we spend our money carefully most of us and we you know, we use it here. We use it there. It's fine
[2313.70 -> 2316.94]  But if we keep spending, we're gonna run out of money.
[2316.94 -> 2320.86]  So likewise, if you keep speaking all the time,
[2320.86 -> 2322.78]  you're gonna run out of words you'll suck.
[2322.78 -> 2324.78]  And Sayyidina Abu Bakr radila,
[2324.78 -> 2326.74]  and one of the highest ranking Sahaba,
[2326.74 -> 2329.68]  if not the highest ranking Sahaba, in fact,
[2330.78 -> 2335.78]  said he was radila and was afraid of going to Jahannam.
[2340.14 -> 2341.52]  How?
[2341.52 -> 2346.24]  If this person who's described as his iman outweighs the whole of the ummah,
[2346.24 -> 2349.60]  even he was afraid of going to Jahannam. Why?
[2349.60 -> 2355.12]  Because he was worried about what his tongue, the sins of the tongue.
[2355.12 -> 2360.56]  So if Sayyidina Abu Bakr was very afraid of it, we should also be very careful with our tongue.
[2360.56 -> 2362.88]  This is how you become a person of Allah.
[2362.88 -> 2367.72]  And like I say, this is a practical talk, so we give away a practical PDF.
[2367.72 -> 2370.32]  So after this talk, if everyone's on the WhatsApp group,
[2370.32 -> 2372.70]  I'm gonna give you almost like a checklist.
[2372.70 -> 2375.82]  So each of these things, presence of Allah,
[2375.82 -> 2379.10]  protecting your tongue, good character.
[2379.10 -> 2380.90]  If you can do it for 30 days
[2380.90 -> 2383.06]  and just do a tick every day that you do it.
[2383.06 -> 2384.86]  Today, I protected my tongue.
[2384.86 -> 2387.78]  Today, I was good to people.
[2387.78 -> 2390.90]  Today, I remembered Allah at least once an hour,
[2390.90 -> 2391.74]  inshallah.
[2392.66 -> 2395.02]  It's okay if you like it as best you can.
[2395.02 -> 2396.14]  You can put a tick.
[2396.14 -> 2397.78]  And if you do that for 30 days,
[2397.78 -> 2399.46]  you will see a transformation.
[2399.46 -> 2402.90]  Remember, this is the first part of transformation.
[2402.90 -> 2404.94]  You'll see a transformation in your life
[2404.94 -> 2407.10]  that you've become like a person of Jannah.
[2407.10 -> 2408.50]  So the gardens of paradise, inshallah,
[2408.50 -> 2410.38]  will become open to you, okay?
[2410.38 -> 2412.18]  And you can start to experience what that's like
[2412.18 -> 2414.62]  in this life before the next.
[2414.62 -> 2417.30]  So that's really, we'll give you a PDF, inshallah,
[2417.30 -> 2418.14]  for everyone.
[2418.14 -> 2419.74]  And most people, they say, that's all I want.
[2419.74 -> 2422.26]  Like the Bedouin, he said, I just want to get to Jannah.
[2422.26 -> 2424.94]  Okay, fine, if I do that, fine, is that it?
[2424.94 -> 2425.86]  Okay, bismillah.
[2425.86 -> 2428.10]  And then that's it, you can end this talk now.
[2428.10 -> 2430.02]  I'm not keeping anyone
[2430.02 -> 2436.82]  So everyone who's here you can learn about the the next levels and even online as well. Just it's all working
[2437.10 -> 2440.30]  So Alhamdulillah, but there are higher levels, right? But like I say if you like this
[2440.90 -> 2442.78]  What happens next?
[2442.78 -> 2446.30]  The steps that we offer right? So first of all, we have a whatsapp group
[2446.66 -> 2453.46]  We come every two weeks when most of us have you've joined the teams on it much on it. I'm sorry, but they was your name again
[2454.14 -> 2456.14]  Are you on the whatsapp group by any chance?
[2458.10 -> 2465.42]  So that's good, that's good, so you can you can benefit as well the whatsapp group is just a reminder
[2465.42 -> 2469.62]  just again, just like these are these talks we come every two weeks on the Friday and
[2470.70 -> 2475.82]  Insha'Allah it motivates you you learn about Allah you feel like I can want to become a better Muslim
[2476.74 -> 2482.70]  The whatsapp group if you join it you get the notification. We don't put many messages up to be honest only message once every two weeks
[2482.70 -> 2488.14]  But it's just a reminder that I'm coming we're coming to today and you can get a reminder
[2488.14 -> 2491.46]  So if you have a phone you can scan it or we can add you later
[2493.58 -> 2497.34]  It's because it's every two weeks is very easy to forget as well like when we're here
[2497.34 -> 2502.02]  So if you're at least on the whatsapp group, it's all you can join. So I really recommend
[2502.78 -> 2505.10]  Or if not, we can do it after the gathering as well
[2506.26 -> 2512.02]  Afterwards, I'm gonna also after today's talk. I'm gonna share that sheet that I just showed you. I'm gonna share a PDF
[2512.70 -> 2518.30]  that summarizes those three teachings. So even if you forget after this talk, you have a PDF that
[2518.30 -> 2523.18]  will give you the three teachings. And then, of course, the way to keep motivated, because you
[2523.18 -> 2529.18]  can now go away, you can do that yourself, those three actions. But to keep motivated is good to
[2529.18 -> 2536.54]  come to a weekly or a fortnightly gathering. On the WhatsApp group, we have another organization
[2536.54 -> 2543.30]  In London, it's also so this is take a compass Luton. Our sister organizes is the main sake of compasses in London
[2543.42 -> 2545.98]  They do weekly gatherings on Wednesdays on Sundays
[2546.10 -> 2548.10]  But even if you can't go you can watch it online
[2548.42 -> 2553.30]  But that to motivate you to because you want to seek Allah you can come close Allah
[2553.30 -> 2557.06]  You can watch some and maybe I think you might have seen on the YouTube channel. Does that magic?
[2557.06 -> 2558.78]  You know this other
[2558.78 -> 2561.98]  So even if I only come every two weeks, you can still benefit every week
[2561.98 -> 2567.42]  And then shall I will give you reminders as well. So that's the code to scan if you have a phone
[2567.42 -> 2569.46]  Do you have a phone but you can you can scan it?
[2570.22 -> 2574.62]  Because we want this to be practical so you benefit inshallah. That's the aim. So hopefully
[2575.74 -> 2578.78]  It's the QR it works and you can just scan it
[2580.94 -> 2585.98]  Alhamdulillah, I think what I might do as well, maybe I'll put some even though we come every two weeks
[2587.50 -> 2589.94]  It should give you a straight link to join. Did it come up?
[2589.94 -> 2591.94]  I
[2592.06 -> 2598.72]  Might maybe do some beneficial reminders in the week between the two weeks every two weeks is maybe some
[2599.06 -> 2605.32]  Motivation ideas or something like that. So inshallah we can look into it. I just want to do something that supports everyone
[2606.26 -> 2607.90]  And I don't want to just
[2607.90 -> 2612.16]  Loads of loads of message you get bored of it. So, okay, that's it
[2613.10 -> 2615.10]  Like I say if you just
[2615.10 -> 2617.10]  Oh, was it easy to join me?
[2617.82 -> 2622.86]  Um, so before it used to be a lot harder. We had to get everyone's phone number add you to the group
[2622.86 -> 2625.02]  I have to add you to my contacts. It's
[2626.02 -> 2629.58]  Complicated but now I'm doing modern technology. You can just scan the what's up
[2631.42 -> 2634.06]  So the next thing like I say, um
[2634.78 -> 2636.78]  there's another level now is
[2637.82 -> 2640.76]  Friendship with Allah the path of the only Allah
[2640.76 -> 2645.12]  some people like I say they're happy with just Jannah but other people they
[2645.12 -> 2650.84]  say I want more yeah and now I'm gonna again go through how you can start if
[2650.84 -> 2655.24]  this you're interested in this what is really the path of the friendship of
[2655.24 -> 2660.60]  Allah is it's Allah's favorite servants you know you can be in Jannah but there
[2660.60 -> 2664.68]  will be people in Jannah that Allah and Allah loves everyone but there'll be
[2664.68 -> 2669.40]  something that he loves more because of their effort their sincerity that Allah
[2669.40 -> 2674.64]  is, you know, there's a beautiful hadith that actually shows us how we can access
[2674.64 -> 2680.32]  this. Allah, I believe it's a hadith that the Prophet Sallallahu Alaihi Wasallam narrates, that Allah says,
[2680.32 -> 2685.96]  I am as my believer thinks of me. This is a really really amazing thing
[2685.96 -> 2694.80]  because really it teaches us that, that if you think that Allah doesn't listen
[2694.80 -> 2701.68]  to me he doesn't hear me he doesn't care about me that's not actually true but
[2701.68 -> 2704.20]  what you've done is you've created what's in English they call it a
[2704.20 -> 2708.40]  self-fulfilling prophecy you have created your own you've dug your own
[2708.40 -> 2712.92]  grave you have said that Allah's like this Allah will be like okay fine if that's what you
[2712.92 -> 2717.32]  think of me that's what I'll do that's not it's not Allah obeying us it's
[2717.32 -> 2722.88]  Allah but Allah's teaching us how to relate with him so really what Allah's
[2722.88 -> 2727.48]  teaching us in that is that if if Allah is as you think of him then think good
[2727.48 -> 2732.36]  thoughts of Allah and that's what you'll get think that Allah loves me Allah is
[2732.36 -> 2736.04]  always helping me he's always with me and that's what will happen in your life
[2736.04 -> 2740.92]  so you are the one that can control that but and this is how the true friends of
[2740.92 -> 2744.08]  Allah think of Allah they think positively of Allah when they have
[2744.08 -> 2747.64]  difficulty in their life they don't blame Allah they want to learn what
[2747.64 -> 2751.84]  lesson is that Allah is trying to teach me and if it's a divine test from Allah
[2751.84 -> 2758.10]  If it's an evil from a human being then they seek Allah's help. They don't say why is Allah letting this person do this to me?
[2758.62 -> 2760.98]  If a person hurts you the zone
[2762.22 -> 2763.42]  oppression
[2763.42 -> 2766.82]  That's not it's like it's like if I give you
[2768.24 -> 2771.98]  Imagine I think this bottle was filled with ice
[2772.66 -> 2774.66]  Yeah, it's a very hard bottle
[2774.78 -> 2779.82]  Imagine I give it to you because I see you're thirsty and you want a cold drink. So I say here I didn't make ice cold
[2779.82 -> 2786.42]  But you have to let it just cool down because it says it's rock-solid ice, but it'll be a very nice drink once you have it
[2787.30 -> 2791.50]  Imagine you take the ice bowl and you saw hanging people hitting people with it like a weapon
[2791.50 -> 2797.58]  Is it my fault that I gave you a bottle of ice and that you started using it to hurt people?
[2798.18 -> 2800.18]  No
[2800.30 -> 2802.30]  I'm not saying you do that, right?
[2802.54 -> 2808.58]  But so Allah gives us free will when we use that free will to hurt people. That's not that's not Allah's fault
[2808.58 -> 2812.94]  This is why I'm explaining. It's a very good way to understand. It's okay, uncle
[2813.78 -> 2815.78]  Okay, inshallah. Is it now?
[2820.50 -> 2822.50]  So this is what I'm explaining
[2822.74 -> 2824.26]  This is what?
[2824.26 -> 2829.74]  It's not Allah's fault. It's the person uses their free will to hurt people that's on them
[2829.90 -> 2834.34]  But also when Allah gives us a divine test, he wants us to react the best way
[2834.62 -> 2837.94]  this is a way to have to understand this so these are ways how to understand how to
[2838.58 -> 2848.26]  engage with Allah SWT. Now I'm gonna just again, just like before, the Gardens of Worship, there's also clear
[2848.26 -> 2853.38]  probably another 20 minutes, half an hour, is that okay?
[2853.38 -> 2861.22]  Okay, thank you, no problem. It's important that the caretaker knows how long we are because he has responsibility as well.
[2861.22 -> 2875.22]  So we'll go into this, again just like with the Gardens of Jannah, there's three clear steps how to understand how to become a Wali of Allah, but I'll go into it here.
[2875.22 -> 2881.22]  First of all you have to understand what it means to be a friend of Allah, so I talked about it earlier, I'll give you some examples.
[2881.22 -> 2890.22]  Then you need a practical, you need someone to show you how. It's all okay to say I want to be a Awliya Allah, I want to be a friend of Allah.
[2890.22 -> 2897.66]  But the best teacher shows you step by step, this is what you need to do first, and this is how you get there.
[2897.66 -> 2904.22]  And most people think this isn't available, but I tell you, my teachers have formulated a step-by-step path.
[2904.22 -> 2908.62]  If you want to learn this, it's available for you to learn and for free, no cost.
[2908.62 -> 2914.06]  Because Islam, the closeness of Allah, why should that be behind a pay barrier?
[2914.06 -> 2916.78]  Only the people that can afford it? No, that's not how Allah works.
[2916.78 -> 2919.90]  Anyone can achieve it, whether you have money, whether you don't have money.
[2919.90 -> 2924.28]  Hajj, a lot of people can't go because it costs money.
[2924.28 -> 2926.00]  Therefore, it's not obligation on them
[2926.00 -> 2927.88]  if they can't afford it.
[2927.88 -> 2930.68]  But this, if you want this, this is totally free.
[2930.68 -> 2935.68]  So we start by just, there's a model that we often,
[2937.36 -> 2939.88]  we actually do full retreats on this,
[2939.88 -> 2941.28]  but we talk about the six Ks,
[2941.28 -> 2945.46]  the most important things to know in your life,
[2945.46 -> 2947.56]  i.e. knowing yourself,
[2947.56 -> 2951.52]  knowing your purpose,
[2951.52 -> 2954.70]  knowing how to achieve your purpose,
[2954.70 -> 2958.44]  knowing the creation of Allah Subh'anaHu Ta-A'la,
[2958.44 -> 2962.00]  and of course then knowing Allah Subh'anaHu Ta-A'la.
[2962.00 -> 2965.20]  These are the most important things to know in your life.
[2965.20 -> 2969.04]  This is part of the start of the path of
[2970.36 -> 2972.80]  willaya, friendship of Allah, but there's more.
[2972.80 -> 2973.84]  I'll go through it.
[2973.84 -> 2975.52]  Again, this is, we teach it in a full retreat.
[2975.52 -> 2977.48]  I'm doing summarized version today.
[2979.40 -> 2980.88]  This is a very powerful model.
[2980.88 -> 2984.16]  Again, I think you might have seen the older version of this.
[2984.16 -> 2987.20]  This diagram, I'm gonna explain it.
[2987.20 -> 2989.24]  This explains your purpose of life.
[2989.24 -> 2991.76]  You know earlier we said have Allah as your goal,
[2991.76 -> 2993.24]  your purpose.
[2993.24 -> 2995.08]  Again, that's good to know what your purpose is,
[2995.08 -> 2996.22]  but how do I achieve it?
[2996.22 -> 2998.36]  This shows you how to achieve it
[2998.36 -> 3000.80]  and how you can live as a friend of Allah.
[3000.80 -> 3005.32]  Where we start at the top where Allah is the one
[3005.32 -> 3013.40]  has infinite attributes and divine qualities, the Sifat of Allah, you know, Al-Rahman, Al-Rahim,
[3013.40 -> 3021.72]  Al-Malik, Al-Quddus, Al-Salam, all these beautiful attributes of Allah SWT. But we look at the ones
[3021.72 -> 3030.12]  that we can benefit from and reflect. So for example, if Allah is merciful, we should be
[3030.12 -> 3035.64]  merciful to other people. If Allah is patient, we should be patient. If Allah is a source of peace,
[3035.64 -> 3039.64]  we should also be a source of peace for other people. If Allah is generous, we should also
[3039.64 -> 3044.76]  be generous. This is when you look at these qualities, the generous person, the peaceful
[3044.76 -> 3050.28]  person, the patient person, the merciful person. Most people agree, in fact everyone agrees that
[3050.28 -> 3055.16]  these are good things. If I meet a patient person, if I meet a generous person, they're very good
[3055.16 -> 3063.48]  people it's good right but the secret is because those qualities are qualities of Allah so we need
[3063.48 -> 3068.84]  to learn how to reflect those qualities of Allah in our life the perfect reflection of Allah
[3069.96 -> 3075.32]  as a human being the person who did it the best is Sayyidina Rasulullah sallallahu alayhi wasallam
[3076.12 -> 3082.20]  he is the most kind he is the most generous human being he's the most patient human being he's the
[3082.20 -> 3088.22]  most merciful human being. So if you look at the perfect way a human being can
[3088.22 -> 3094.10]  reflect Allah's attributes, sifat, Sayyidina Rasulullah was a teacher for us, how to
[3094.10 -> 3099.70]  be perfect, representation, reflecting Allah's attributes. So then we have to
[3099.70 -> 3104.70]  try and, obviously we don't have to reflect, we can't, it's difficult to learn
[3104.70 -> 3108.18]  how to reflect Allah's qualities just by ourselves. It's like trying to stick
[3108.18 -> 3113.54]  your fingers into that plug socket you might you won't benefit you know because you're trying to
[3113.54 -> 3117.62]  get the electricity doesn't work or you're trying to put your phone against the plug socket it
[3117.62 -> 3123.06]  doesn't work what do you need you need a cable you need a plug and it's like saying that so if
[3123.06 -> 3127.30]  the the plug socket you imagine that is like the energy source that allah swana ta'ala
[3128.10 -> 3132.10]  and you are the phone you need to be charged uh you want to benefit from the energy source
[3132.10 -> 3137.38]  saying the rasool salam would connect connect you to allah so you can benefit and charge and live
[3137.38 -> 3142.10]  your life in a way that's helpful. So this model that basically the main
[3142.10 -> 3145.22]  message of this is if you follow the Prophet Sallallahu Alaihi Wasallam you live
[3145.22 -> 3148.70]  your life in the best way possible that Allah SWT will be
[3148.70 -> 3153.02]  pleased with because the Prophet Sallallahu Alaihi Wasallam lived his life as a perfect
[3153.02 -> 3158.78]  reflection of Allah okay and also there's more to this is again I think last
[3158.78 -> 3161.98]  year we did a retreat in this masjid over the weekend and we taught these
[3161.98 -> 3167.18]  concepts we taught this because we need like three days to teach us properly but
[3167.18 -> 3168.82]  We actually teach this.
[3168.82 -> 3170.68]  We are the teacher in retreats,
[3170.68 -> 3175.68]  or we will also teach it in a six week after care program
[3175.90 -> 3178.98]  where every week you can attend online to learn about these.
[3178.98 -> 3180.94]  But we teach you these concepts
[3180.94 -> 3182.22]  of what is our true purpose.
[3182.22 -> 3185.50]  Like this is a representation of your journey
[3185.50 -> 3187.38]  through this is through the,
[3187.38 -> 3191.70]  from the beginning where there's only Allah SWT.
[3191.70 -> 3193.58]  Then before we came to this dunya,
[3193.58 -> 3194.74]  because the dunya is here,
[3194.74 -> 3197.82]  We were in the Alam al-Arwah with spirits.
[3197.82 -> 3202.30]  But now we are here, and we are still traveling.
[3202.30 -> 3204.10]  We're going to go to the Barzakh,
[3204.10 -> 3206.88]  and then we'll be on the Day of Judgment.
[3206.88 -> 3210.44]  And then finally, we'll either be in Jannah or Jahannam.
[3210.44 -> 3213.98]  So this is a full pathway to explain to you,
[3213.98 -> 3216.94]  where did you begin and where will you end up?
[3216.94 -> 3218.60]  But you have to learn like satnav.
[3218.60 -> 3220.90]  Like if you get into a car, you need a satnav
[3220.90 -> 3223.06]  to show you how to get to your destination.
[3223.06 -> 3224.44]  This is a roadmap.
[3224.44 -> 3227.32]  You learn how to get to your destination by following,
[3227.32 -> 3228.64]  for example, this is what we're gonna teach you
[3228.64 -> 3231.06]  with this course.
[3231.92 -> 3233.16]  You learn in this course,
[3233.16 -> 3236.32]  and you learn about how you're made up of your,
[3236.32 -> 3237.64]  the amanas that Allah has given you,
