[0.00 -> 9.00]  Allah is All-Knowing, All-Wise.
[3144.88 -> 3173.88]  It is for concentration and then focuses themselves that Allah SWT is seeing me, they're seeing everything that I'm doing, they're seeing all my worries, all my thoughts, they are hearing me, they're hearing my wicked, they're hearing my worries, my dua, and they are present to me that they are the closest thing to me.
[3173.88 -> 3181.88]  and then in everything that I go and then relate everything to Allah
[3203.88 -> 3222.88]  In the name of Allah, the Merciful, the Compassionate, the Compassionate, the Compassionate, the Compassionate,
[3222.88 -> 3238.88]  saraqa allabeena an'amta alayhim ghayri maghboobi alayhim wa laqqadu bihi
[3238.88 -> 3247.70]  allahu la ilaha illa huwa l-hayyu l-qayyu
[3247.70 -> 3254.34]  la taquduhu sinatuhu wala nawm
[3254.34 -> 3259.62]  lahum ma fi assamaawati wa ma fi l-ardu
[3259.62 -> 3265.76]  man dalladhi yashfa'u ndahu
[3265.76 -> 3273.76]  illa bi-idnihi ya'lamu ma bayna al-dihim wa ma khalfahum
[3273.76 -> 3284.76]  wa la yuhi'tun bi-shay'in min ilmihi illa bi-mashad
[3284.76 -> 3289.76]  wasi'a fursiuhu al-samawati wa al-ard
[3289.76 -> 3293.76]  wa la ya'uduhu hafruhuma
[3293.76 -> 3298.76]  wa huwa al-alimu al-'alim
[3298.76 -> 3303.76]  bismillah ir-rahman ir-rahim
[3303.76 -> 3306.76]  qul huwa allahu ahad
[3306.76 -> 3308.76]  allahu as-samad
[3308.76 -> 3311.76]  lam yalid wa lam yuulad
[3311.76 -> 3317.76]  wa lam yakun lahu kufuwan ahad
[3317.76 -> 3328.26]  Inna allaha wa mela'ikatahu yusalloon ala an-nabiyyin
[3328.26 -> 3337.58]  Ya ayyuma allatheena aamanoo salloo alayhi
[3337.58 -> 3345.46]  salloo alayhi wa sallim tasliman
[3345.46 -> 3359.46]  Mawla yasalli wa sallim dahiman abada
[3359.46 -> 3373.46]  Mawla yasalli wa sallim dahiman abada
[3373.46 -> 3392.06]  ala habibika khairin khalqi kulli himin
[3392.06 -> 3403.62]  Muhammad is the master of the two universes and of the two multitudes
[3403.62 -> 3412.58]  and of the two groups of love and of the non-Muslims
[3412.58 -> 3424.58]  Qawla yasalli wa sallim da'iman abada
[3424.58 -> 3444.58]  ala habibika khayril khalqi kulli himin
[3444.58 -> 3473.58]  So know that there is no god but Allah, Muhammad is the Messenger of Allah.
[3473.58 -> 3481.58]  La ilaha illa Allah
[3481.58 -> 3488.58]  La ilaha illa Allah
[3488.58 -> 3494.58]  La ilaha illa Allah
[3494.58 -> 3501.58]  La ilaha illa Allah
[3591.58 -> 3597.58]  Allah, Allah, Allah, Allah
[3597.58 -> 3604.58]  Anta al-Mawla, Anta al-Haqq
[3604.58 -> 3611.58]  Laysa al-Mawla illa Hu
[3611.58 -> 3617.58]  Anta al-Mawla, Anta al-Haqq
[3677.58 -> 3687.04]  illa Hu, anta al-hadi, anta al-haq,
[3687.04 -> 3693.96]  laysa anta al-hadi, illa Hu
[3693.96 -> 3707.96]  Allah Allah Allah Allah Allah Allah Allah Allah Allah
[3707.96 -> 3714.96]  Hasbi Rabbi Jall Allah
[3714.96 -> 3721.96]  Ma fi Qalbi Rayyullah
[3721.96 -> 3742.16]  Nuri Muhammad, sallallahu alaihi wa sallam, la ilaha illa Allah, la ilaha illa Allah,
[3742.16 -> 3748.80]  La ilaha illa Allah
[3748.80 -> 3756.56]  La ilaha illa Allah
[3756.56 -> 3766.96]  Muhammad Rasulullah
[3766.96 -> 3774.96]  Astaghfirullah
[3774.96 -> 3781.96]  Astaghfirullah
[3781.96 -> 3788.96]  Astaghfirullah
[3788.96 -> 3800.16]  Alladhi la ilaha illa Hu
[3800.16 -> 3807.84]  Al hayyul qiyyum
[3807.84 -> 3817.20]  Wa atuhu ilayhi
[3817.20 -> 3824.20]  wa huwa al-ghafoor al-wadood
[3824.20 -> 3831.20]  Dhul arshi al-majeed
[3831.20 -> 3841.20]  wa huwa al-ghafoor al-wadood
[3841.20 -> 3846.20]  Dhul arshi al-majeed
[3846.20 -> 3869.20]  Dhu l-jalal wa l-itraam
[3869.20 -> 3899.04]  Allahumma salli ala sayyidina wa mawlana Muhammadin wa ala anihi wa as-sahabihi wa sallamuhu
[3899.04 -> 3926.08]  Allahumma salli ala sayyidina wa muhlana Muhammadin wa ma'a taamihi wa as-sahabihi
[3956.08 -> 3965.32]  This gathering of nasiha and dhikr and remembrance of your name and exaltation of your glorious
[3965.32 -> 3966.32]  attributes.
[3966.32 -> 3975.80]  Ya Allah gather this blessed gathering with angels and descend upon us tranquility and
[3975.80 -> 3983.80]  remember us in an assembly better than this assembly and make this gathering a witness
[3983.80 -> 3991.40]  for us on the day of judgment. In this time, in this hour, on this day, where people are out
[3991.40 -> 3997.56]  disobeying you, we are in your house, remembering your name. So,
[4001.08 -> 4005.24]  bless us. You have blessed us in this dunya by gathering us in your home,
[4005.24 -> 4009.88]  bless us by gathering us in the day of judgment and in paradise together
[4009.88 -> 4034.88]  And with your message, O Allah, grant us steadfastness from your path, O Allah, the path of the prophets, O Allah, the path of the straight path, the path of those whom you have bestowed your favour upon, and they are the Prophets, and they are the martyrs, and they are the righteous, make us, O Allah, from the righteous and the righteous, O Allah.
[4034.88 -> 4040.48]  except from us, protect us from the evils of our nafs, and from the plots and schemes of the shaitan.
[4040.48 -> 4045.36]  Allow us to live upon Islam and die with Iman and resurrect us with the pious.
[4045.36 -> 4051.84]  And grant us a high rank, the highest of ranks, and what is above.
[4051.84 -> 4053.12]  And as you have said,
[4055.44 -> 4060.56]  and with us is more, with you is more, give us what is more.
[4060.56 -> 4063.76]  Grant the satisfaction of what you have given us in this way,
[4063.76 -> 4066.76]  and make this a spire for the highest ranks in the Akhirah of Rabbul Alameen.
[4066.76 -> 4069.76]  We are fortified and protect us, O Rabbul Alameen,
[4069.76 -> 4072.76]  and make this gathering an expiation, O Rabbul Alameen,
[4072.76 -> 4074.76]  and allow us to forgive those who have wronged us
[4074.76 -> 4075.76]  and forgive us, O Rabbul Alameen.
[4075.76 -> 4079.76]  Subhana rabbika rabbina izzati amma yaswifoon
[4079.76 -> 4082.76]  wa salaamun ala almursaleen
[4082.76 -> 4087.76]  walhamdulillahi rabbina ala amin
[4093.76 -> 4095.76]  Thank you very much.
