[0.00 -> 2.00]  3, 2, 1
[2355.18 -> 2367.42]  Sufyan, does he fulfill or does he break the promises? And has he maintained the treaty?
[2367.42 -> 2376.06]  he honoured the treaty he said yes so he doesn't lie he doesn't betray the trust yes and the
[2376.06 -> 2380.54]  only thing he could say the only thing he could say because at that point there was
[2380.54 -> 2388.06]  still enmity the only thing he could say to kind of place a blemish on the prophet sallallahu
[2388.06 -> 2396.74]  character which is pristine is where we're yet to see that we're yet to see
[2396.74 -> 2402.66]  whether it will whether it will be honored or not that's that's all he could
[2402.66 -> 2410.94]  say the point is as you know that these values these virtues they are what made
[2410.94 -> 2414.58]  the Rasul sallallahu alaihi wasallam for any observer anyone who wants to listen
[2414.58 -> 2419.58]  listen to the Rasul Sallallahu Alaihi Wasallam or learn about him, what would they see?
[2419.58 -> 2424.58]  Oh, he's a man of honesty, he's a man of trustworthiness, he's a man of integrity,
[2424.58 -> 2431.58]  he's a man of bravery, he's a man of generosity, he's a selfless man, etc.
[2431.58 -> 2436.58]  So what's going to attract the people? These virtues.
[2436.58 -> 2443.58]  And that is why, as we said, our Dawah should be a virtue-led Dawah.
[2443.58 -> 2458.58]  So, we have, as you know, this concept of kalamati, and the kalamati occurs to us happens because of what we have done.
[2458.58 -> 2467.58]  This is a Quranic rule, not mine, not anybody else's, yes.
[2467.58 -> 2482.50]  Allah SWT said, whatever good touches you is from Allah, and whatever touches you, whatever
[2482.50 -> 2488.70]  afflicts you of harm, of calamity, it's from yourself.
[2488.70 -> 2498.04]  And so, Allah subhanahu wa ta'ala has, if you like, instituted this principle.
[2498.04 -> 2502.88]  And so, when we say calamities, the first calamity to strike somebody of their own doing
[2502.88 -> 2503.88]  was shaytan.
[2503.88 -> 2504.88]  Because what is the calamity?
[2504.88 -> 2506.06]  The calamity is sin.
[2506.06 -> 2508.82]  The greatest calamity is that you disobey Allah.
[2508.82 -> 2510.84]  And worse than that, commit kufr.
[2510.84 -> 2513.68]  He's not a kafir by the way, because he still believes in Allah.
[2513.68 -> 2516.64]  But he has disobeyed Allah subhanahu wa ta'ala.
[2516.64 -> 2525.78]  and denied Allah's rule over him and authority, which is itself kufr of course, but he's not
[2525.78 -> 2528.02]  denied Allah's existence.
[2528.02 -> 2537.18]  And so, as we've said, the calamity, what can we look at and say, because this is the
[2537.18 -> 2542.12]  sunnah of the Prophet ﷺ, that if something good happens, attribute it to Allah.
[2542.12 -> 2546.12]  bad happens that Rasulullah Sallallahu Alaihi Wasallam taught us look to what I might have done
[2547.08 -> 2552.52]  look to what because brothers and sisters it's very simple there's no more Isma
[2553.88 -> 2560.92]  there's no infallibility that was a quality just for the prophets meaning everybody is prone to
[2560.92 -> 2570.76]  sinning everybody is prone to error nobody is free of sin nobody is free of error nobody nobody makes
[2570.76 -> 2577.62]  Perfect judgments 100% of the time. It just simply doesn't happen. And so to claim any type of
[2578.04 -> 2580.56]  any type or any any form of
[2581.40 -> 2584.00]  any form of infallibility or any form of
[2585.00 -> 2586.64]  faultlessness or
[2586.64 -> 2591.60]  Flawlessness. This is a claim that can only be attributed to the prophets
[2591.60 -> 2594.84]  It can only be made by the prophets and given to the prophets
[2594.84 -> 2599.36]  And so one should then look the village politics that go on in my family
[2599.36 -> 2609.36]  The brothers or the sisters' inheritance that has been usurped from them.
[2609.36 -> 2612.36]  How many people have to go back home?
[2612.36 -> 2617.36]  Why haven't I been there in so long and my cousins are there and they're going to take the land.
[2617.36 -> 2628.36]  Very easy. They go to the council, to the municipality and they pay someone and the deeds are transferred over to them.
[2628.36 -> 2631.04]  It happens all the time.
[2631.04 -> 2633.00]  I was an imam for 12 years.
[2633.00 -> 2634.80]  In fact, it's not just while I was an imam.
[2634.80 -> 2638.60]  Now 14 years on after I started imama, it's the same thing.
[2638.60 -> 2642.92]  I hear these stories all the time, people come in and asking me, how about the husband
[2642.92 -> 2650.88]  who's addicted to pornography and not looking at his wife or the one who divorces her multiple
[2650.88 -> 2657.60]  times and lies afterwards and says, I didn't divorce her, she's making it up and forcing
[2657.60 -> 2664.24]  her to live with him he's sinful she won't be yes all of these these and the
[2664.24 -> 2671.04]  drug dealing taking place and the drug use and alcohol use and so Allah
[2671.04 -> 2674.80]  Subhanahu Wa Ta-A'la said that we have to look at ourselves as well as well
[2674.80 -> 2680.84]  didn't say only okay because there's a some people seem to look at things in
[2680.84 -> 2684.52]  black and white either I look at the other person or I just look at myself
[2684.52 -> 2686.60]  No, I didn't say that.
[2686.60 -> 2688.20]  No one is suggesting that.
[2688.20 -> 2692.48]  There is evil from others, there's also evil in me as well.
[2692.48 -> 2699.64]  And so it doesn't mean I can't address the evil of others until I've completely eliminated
[2699.64 -> 2700.64]  my evil.
[2700.64 -> 2705.48]  But what you won't be asked about on the Day of Judgment is the evil deeds of others.
[2705.48 -> 2711.64]  Allah subhanahu wa ta'ala is not going to ask me on the Day of Judgment about this person
[2711.64 -> 2712.64]  who looted a shop.
[2712.64 -> 2718.68]  Allah asked me about the business that I looted, the customers that I looted, because what
[2718.68 -> 2720.54]  is it that you cheat your customers?
[2720.54 -> 2724.52]  You're looting them, yes?
[2724.52 -> 2732.38]  If somebody is rioting, as we said, we're appalled and we call for all of the legal
[2732.38 -> 2740.32]  measures to stop this senseless aggression and violence, yes?
[2740.32 -> 2745.60]  rioting, but also there are people who go home almost every day and spark a riot at home,
[2746.48 -> 2751.28]  fighting with their brothers and sisters, fighting with their wives, fighting with their children,
[2751.28 -> 2755.36]  fighting with their neighbors. Is that not a riot? You're causing a riot on a mini scale.
[2756.48 -> 2763.68]  So is it a surprise that all of these small riots can culminate into national ones? So dear brothers
[2763.68 -> 2771.84]  and sisters, Allah subhanahu wa ta'ala has made our identity very clear to us. We are
[2771.84 -> 2777.28]  servants of Allah subhanahu wa ta'ala, we are from the heavens, we are not from this
[2777.28 -> 2784.72]  earth, we are given earthly suits to live in. These suits are selected by Allah and Allah
[2784.72 -> 2792.50]  doesn't give any value to one suit over another. And Allah subhanahu wa ta'ala has warned us
[2792.50 -> 2799.94]  by telling us the first story in the Qur'an is that of Iblis, Sayyiduna Adam and the shaytan.
[2799.94 -> 2805.30]  That when the shaytan didn't realize his identity he gave value to something, he attributed
[2805.30 -> 2814.82]  value to something which is valueless, which is his form. And what was he supposed to attribute
[2814.82 -> 2819.88]  value to? The sifat of Allah because Allah when he brought us from the heavens to place
[2819.88 -> 2826.12]  us here we're here as his representatives his representatives reflect his not values of course
[2826.12 -> 2833.48]  his sifat his qualities jalla majduhu to be a true representative the true ambassador for
[2833.48 -> 2838.76]  allahu subhanahu wa ta'ala is that you have to represent and you have to color yourself
[2839.32 -> 2847.80]  in the qualities of allahu subhanahu wa ta'ala in doing so you have then decorated yourself
[2847.80 -> 2854.84]  in virtues, in values that are universally accepted, that no one can disagree with,
[2854.84 -> 2861.32]  no one can deny, no one can fault you or wrong you when you have them. And therefore, if they
[2861.32 -> 2868.44]  disagree with your religion, I can live with that. I can live with that. But if there are these crimes
[2869.16 -> 2875.00]  that are committed, then no one can live with these crimes. No one would accept these crimes.
[2875.00 -> 2881.88]  Yes, of course, of course, some of these crimes, as we said, are exaggerated, some of them are,
[2881.88 -> 2891.80]  you know, miscommunicated, either deliberately, or by mistake, etc, etc. But the truth, the reality
[2891.80 -> 2898.60]  remains. The reality remains. Yes, as Allah subhanahu wa ta'ala said,
[2898.60 -> 2906.28]  the good deed and the sin they're not equal and that's what we call people to yes this was bad
[2906.28 -> 2910.92]  and that is also bad anything that you say that is true that exists out there yes this is bad
[2910.92 -> 2917.40]  not oh uh uh we we you know we're unhappy about grooming gangs yeah well statistically there are
[2917.40 -> 2922.52]  more white rapists than there are asian rapists that's not a response yeah also i hate grooming
[2922.52 -> 2930.52]  gangs right and I disagree and and I deplore it and this is something evil and you know what
[2930.52 -> 2936.60]  yes together we can stamp this out right stamp it out through the right way through calling people
[2936.60 -> 2944.76]  to the values calling people to good values the universal values right that's how you will win
[2944.76 -> 2950.76]  people the rasul sallallahu alaihi wasallam the rasul sallallahu alaihi wasallam he won everyone's
[2950.76 -> 2956.36]  heart by the way even the non-muslims most of them the rasul sallallahu alaihi wa sallam won their hearts
[2956.36 -> 2962.12]  and most of them they were forced out of their homes to fight they were forced into armies they
[2962.12 -> 2965.80]  were forced to fight they didn't know allah subhanahu ta'ala why do you think allah subhanahu
[2965.80 -> 2970.44]  ta'ala saved them from kufr afterwards and then they all became companions have you not thought
[2970.44 -> 2978.76]  of that because if there was if they if if they had that inherent hatred then they would never
[2978.76 -> 2983.56]  have become muslim they would have died on that state but they knew that they they knew that what
[2983.56 -> 2988.20]  they were doing was wrong they knew what that what they were doing was wrong and they wanted their
[2988.20 -> 2993.00]  way out but there's a tribal culture there's a people forcing me uh like you can see all the
[2993.00 -> 2996.76]  people down the pub if you don't come out then you're a chicken then you're a coward or something
[2996.76 -> 3001.64]  like that these things happen these things happen and we know this we're watching people going
[3001.64 -> 3007.08]  some of these people are just bored there are people are bored and there are people who are
[3007.08 -> 3017.80]  who have malicious intent. There are people who are out there in a very calculated manner,
[3017.80 -> 3023.80]  deliberately causing harm and creating division in this country and they know what they're doing.
[3023.80 -> 3026.92]  Other people, they don't know what they're doing. Really, you go to the person who doesn't know what
[3026.92 -> 3034.28]  he's doing. You meet a person in the street and you say to them, where have you been? I don't know.
[3034.28 -> 3040.28]  where are you going? I don't know. And where are you? I don't know. What should you do for him?
[3041.00 -> 3051.64]  Give him directions. What do we call directions? Guidance. So we ask Allah SWT to
[3053.24 -> 3060.12]  protect this country and everyone within it, Muslim, non-Muslim. We ask Allah SWT to protect
[3060.12 -> 3067.58]  our sisters, the vulnerable, we ask Allah SWT to protect our mosques, we ask Allah SWT
[3067.58 -> 3073.38]  to protect the churches, the temples, all of the places of worship, we ask Allah SWT
[3073.38 -> 3081.32]  to protect all of the people of colour, the people who have been caught up in this for
[3081.32 -> 3086.12]  no blame of their own, we ask Allah SWT to bring people back to their senses, we ask
[3086.12 -> 3094.56]  Allah SWT to allow us to fight the shaytan and his evil traps and that Allah SWT makes
[3094.56 -> 3100.34]  us realise our identity and our purpose in life.
[3100.34 -> 3105.96]  Now because obviously this has not been well rehearsed at all because this has been a final
[3105.96 -> 3110.20]  last minute decision, do we have any questions on the internet?
[3110.20 -> 3111.56]  Do we have any questions on the internet?
[3111.56 -> 3112.56]  We don't?
[3112.56 -> 3121.24]  case insha'Allah we'll move on to the last segment which is what we have grown accustomed
[3121.24 -> 3127.68]  to and used to which is the dhikr and so today insha'Allah we'll keep it brief and light.
[3127.68 -> 3134.52]  Allah subhanahu wa ta'ala has said, alladhina amanu wa tatamainu quloobuhum bi dhikrillah
[3134.52 -> 3139.40]  those who believed and their hearts found peace in the dhikr of Allah, in remembering
[3139.40 -> 3147.48]  Indeed in the remembrance of Allah, do the hearts find peace, do the hearts find rest.
[3147.48 -> 3152.52]  And this is what we, everyone is seeking, everybody is looking for peace.
[3152.52 -> 3159.44]  Allah subhanahu wa ta'ala, from among His infinite names, chose one name, one of His
[3159.44 -> 3166.56]  names to name His final religion after, and that is Islam.
[3166.56 -> 3174.16]  It's not named after a personality, it's not named after a location or a tribe or ethnicity,
[3174.16 -> 3178.92]  but rather Islam is after Allah's name as Salaam, the giver of peace.
[3178.92 -> 3181.92]  Everybody's searching for peace and wants peace.
[3181.92 -> 3187.56]  And so one is commanded, of course, to give peace to others, but only by giving peace
[3187.56 -> 3194.64]  to themselves first, that they stop their hands from committing any violation.
[3194.64 -> 3199.12]  eyes, their ears, their tongue, their stomachs, their private parts, their feet. Only then can you
[3199.12 -> 3208.48]  give peace to other people. And of course the spirit seeks its peace or the spirit seeks
[3208.48 -> 3212.80]  actually its nutrition, its fuel, its connection to Allah subhanahu wa ta'ala through the dhikr of
[3212.80 -> 3220.88]  Allah subhanahu wa ta'ala. And in its nourishment, in its fulfillment the body and the mind and the
[3220.88 -> 3226.00]  the nafs they and the heart they find peace. So inshallah we'll begin by
[3226.00 -> 3230.96]  Ibnillah for a brief dhikr.
[3250.88 -> 3260.88]  Ar-Rahman Ar-Rahim Maliki Yawm Al-Deem
[3260.88 -> 3266.88]  Iyyaka Na'budu Wa Iyyaka Nasta'een
[3266.88 -> 3271.88]  Ihdina As-Sirata Al-Mustaqeem
[3271.88 -> 3290.88]  siraat allatheena an'amta alayhim ghayri almawdhubi alayhim walad-dhallim
[3290.88 -> 3299.36]  Allah, la ilaha illa huwa al-hayyu al-qayyum
[3299.36 -> 3305.60]  La ta'akhuthu sinatun wala nawm
[3305.60 -> 3310.48]  Lahoo maa fissamaawati wa maa fil-ard
[3310.48 -> 3319.12]  Man dhal-labhi yashfa'u ndahu illa bi-idhnihi
[3319.12 -> 3338.12]  He knows what is before them and what is behind them, and they encompass nothing of His knowledge except what He wills.
[3338.12 -> 3352.12]  Wasi'a kursiyuhu al-samawati wal-ard, wa la ya'ooduhu hifruhuma, wa huwa al-'aliyu al-'azim.
[3352.12 -> 3381.12]  Inna Allaha wa malaa'ikatahu yusalloon ala an-nabi ya ayyuhal labiin aamanoo salloo alaihi wa sallimoo taslimaan
[3382.12 -> 3400.44]  Mawla ya salli wa sallim da'iman abada
[3400.44 -> 3421.34]  ala habibika khairil khalqi kulli himee
[3421.34 -> 3425.34]  Muhammad
[3425.34 -> 3430.34]  Muhammad
[3430.34 -> 3446.34]  Muhammad
[3446.34 -> 3458.66]  Sayyidu l-Kawnayn wa thaqalayn
[3458.66 -> 3468.88]  wa l-fariqayn min arbi wa min ajami
[3468.88 -> 3475.96]  Mawla ya salli wa sallim
[3475.96 -> 3483.72]  Dā'iman abadā
[3484.52 -> 3504.00]  ʿala ḥabībika ḥayri l-khalqi kullihimi
[3504.00 -> 3515.92]  huwa al-Habibu alladhi turja shafa'atuhu
[3515.92 -> 3525.04]  Likulli hawlim minal ahwal muqatahimi
[3525.04 -> 3547.04]  Mawla yasa'alli wa sallim da'iman abada
[3547.04 -> 3567.20]  ʿala ḥabībika ḥayri al ḥalqi kulli ḥimīn
[3567.20 -> 3586.20]  fa'alam anhu la ilaha illa Allah
[3586.20 -> 3597.72]  Muhammad is the Messenger of Allah.
[3597.72 -> 3625.72]  fa'lam anhu la ilaha illa Allah, la ilaha illa Allah, la ilaha illa Allah, la ilaha
[3655.72 -> 3674.72]  La maqsuda illa Allah
[3674.72 -> 3700.76]  illa Allah, illa Allah.
[3700.76 -> 3721.36]  La ma'abooda illa Allah
[3721.36 -> 3742.92]  La ilaha illa Allah
[3772.92 -> 3798.92]  Ha Allah, zahir batin, ha Allah, awwal wakhir, ha Allah, zahir batin, ha Allah, Allah,
[3798.92 -> 3825.24]  Allah, Allah, Allah
[3825.24 -> 3831.60]  ANTA AL-MAWLA ANTA AL-HAQQ
[3831.60 -> 3838.52]  LAYSA AL-MAWLA ILLAHU
[3838.52 -> 3844.92]  ANTA AL-MAWLA ANTA AL-HAQQ
[3844.92 -> 3851.84]  LAYSA AL-MAWLA ILLAHU
[3851.84 -> 3865.60]  Allah Allah Allah Allah Allah Allah Allah Allah Allah
[3865.60 -> 3872.08]  Hasbi Rabbi Jalla Allah
[3872.08 -> 3882.52]  ma fihi qalbi ghayru llaha nuru muhammad
[3882.52 -> 3885.60]  sallallahu alaihi wa sallam
[3885.60 -> 3892.00]  la ilaha illa Allah
[3892.00 -> 3898.52]  la ilaha illa Allah
[3898.52 -> 3927.68]  La ilaha illa Allah
[3927.68 -> 3935.68]  Muhammad is the Messenger of Allah.
[3940.68 -> 3947.68]  O Prophet, peace be upon you.
[3947.68 -> 3954.68]  O Messenger, peace be upon you.
[3954.68 -> 3961.32]  Ya Habib, salamu alayka
[3961.32 -> 3968.00]  Salawatullahi alayka
[3968.00 -> 3974.52]  Ya Nabi, salamu alayka
[3974.52 -> 3980.92]  Ya Rasul, salamu alayka
[3980.92 -> 3987.64]  Ya Habib, salamu alayka
[3987.64 -> 3994.56]  Salawatullahi alayka
[3994.56 -> 4000.80]  Tala'al badru alayna
[4000.80 -> 4007.16]  Min thaniyatil wada'i
[4007.16 -> 4013.16]  wajaba ash-shukru alayna
[4013.16 -> 4019.16]  ma da'a lillahi da'i
[4019.16 -> 4025.16]  ayyuhal mab'uthu fina
[4025.16 -> 4031.16]  jitta bil amri almuta'i
[4031.16 -> 4043.16]  jitta sharrafta almadeena marhaban ya khaira da'i
[4043.16 -> 4056.16]  ya nabi salamu alayka ya rasul salamu alayka
[4056.16 -> 4082.56]  Ya Habib, Salamu alayka, Salawatullahi alayka, wa ala alika wa ashabika, Ya Rasoola Rabbil alameen
[4082.56 -> 4106.88]  Astaghfirullah, astaghfirullah, astaghfirullah,
[4106.88 -> 4113.92]  Allathe la ilaha illa Hu
[4113.92 -> 4120.48]  Allathe la ilaha illa Hu
[4120.48 -> 4123.76]  Al hayyu al qayyum
[4123.76 -> 4126.56]  Al hayyu al qayyum
[4126.56 -> 4130.64]  Wa atubu ilayh
[4130.64 -> 4134.40]  Wa atubu ilayh
[4134.40 -> 4154.72]  Allahumma salli ala sayyidina wa maulana Muhammadin
[4154.72 -> 4166.00]  wa ala alihi wa ashabihi wa sallim.
[4166.00 -> 4178.44]  Allahumma salli ala sayyidina
[4178.44 -> 4197.08]  wa maulana Muhammadin wa ala alihi wa ashabihi wa sallim
[4197.08 -> 4199.60]  Subhana rabbia al-ani ila al-wahab
[4199.60 -> 4203.48]  Allahumma salli wa sallim wa barika ala sayyidina Muhammadin wa ala alihi wa sahbihi wa sallim
[4203.48 -> 4204.72]  taslim al-katheera
[4204.72 -> 4209.62]  Rabbana taqabal minna inna ka anta al-sameen wa al-aneeem wa tuba alayna inna ka anta al-tawabu al-raheem
[4209.62 -> 4214.30]  Rabbana atina fid dunya hasanatan wa fid al-akhirati hasanatan wa qina adhab an-naar
[4214.30 -> 4217.54]  Ya Rabb al-alameen, Ya arham al-rahmeen, accept from us Ya Rabb al-alameen
[4217.54 -> 4219.76]  this gathering of dhikr Ya Rabb al-alameen
[4219.76 -> 4221.16]  an-naseeha Ya Rabb al-alameen
[4221.16 -> 4224.54]  Ya Rabb al-alameen, forgive us for our many shortcomings Ya Rabb al-alameen
[4224.54 -> 4228.88]  Ya Rabb al-alameen, we have not done this topic justice Ya Rabb al-alameen
[4228.88 -> 4232.98]  we have not delivered it as it should be delivered as we have been taught Ya Rabb al-alameen
[4232.98 -> 4236.98]  by our mashayikhs and our seniors, Ya Rabbul A'lamin.
[4236.98 -> 4241.30]  Ya Rabbul A'lamin, grant us, Ya Rabbul A'lamin, the peace that we are seeking, Ya Rabbul A'lamin,
[4241.30 -> 4246.26]  and everybody grant them peace, Ya Rabbul A'lamin, and make us, Ya Rabbul A'lamin,
[4246.26 -> 4248.58]  merchants and givers of peace, Ya Rabbul A'lamin.
[4248.58 -> 4252.10]  Ya Rabbul A'lamin, protect this country, Ya Rabbul A'lamin, and everyone within it,
[4252.10 -> 4257.30]  Ya Rabbul A'lamin. Anybody who wills and wishes harm and discord for this country,
[4257.30 -> 4263.30]  Ya Rabbul A'anameen, foil their plans, Ya Rabbul A'anameen, and expel them, Ya Rabbul A'anameen,
[4263.30 -> 4269.54]  and expose them, Ya Rabbul A'anameen, as the mischievous and corruptive forces, Ya Rabbul A'anameen,
[4269.54 -> 4274.02]  that they are. Ya Rabbul A'anameen, grant everybody clarity, Ya Rabbul A'anameen, in their life.
[4274.02 -> 4278.26]  Grant us all, Ya Rabbul A'anameen, understanding of our identity and make us, Ya Rabbul A'anameen,
[4278.26 -> 4283.70]  of those who live according to their identity, that we are servant worshipers, that we are
[4283.70 -> 4291.38]  We are servant-worshippers of yours, make us proper representatives, proper khulafa of
[4291.38 -> 4300.98]  yours, colour us in your qualities, truly reflect your sifat and embody the character
[4300.98 -> 4305.12]  of the Rasul sallallahu alaihi wasallam.
[4305.12 -> 4310.94]  Grant security to our mosques, grant security to the worshippers in the mosques, grant security
[4310.94 -> 4314.96]  to all the people of this country, grant security for the Muslims and the non-Muslims, grant
[4314.96 -> 4322.18]  security for our Muslim sisters and our children, grant us safety and security in our homes,
[4322.18 -> 4328.18]  in our workplaces, on public transport, in our cars, on the pavements, remove all the
[4328.18 -> 4335.90]  threats and all of the harms and all of the dangers that are out there.
[4335.90 -> 4340.90]  Bless all of the Muslims with repentance and bless all of the non-Muslims with guidance.
[4340.90 -> 4370.06]  May Allah reward you for tuning in and inshallah next week we hope and we pray that we hold
[4370.06 -> 4372.06]  of our session in person.
[4372.06 -> 4374.06]  Subhanana rabbika rabbil izzati amma yasifoon
[4374.06 -> 4376.06]  wa salamun ala almursalin
[4376.06 -> 4378.06]  wa alhamdulillahi rabbil alameen
[4378.06 -> 4380.06]  wa salamu alaykum wa rahmatullahi ta'ala wa barakatuh
